instanceid, networkinGiB
i-08a7fc4b4b3ea3710, 0.055177
i-05d8899cbc04c6c03, 0.019442
i-03b9d1ecaad1a95fb, 0.000000
i-066e00329335a2cbd, 0.000000
i-0d191bcbb59ee3a87, 0.038231
i-0142bb8e9bace10f4, 0.001877
i-03782b8ffeb82946a, 2.237544
i-06c1a55f20d6b3810, 0.000000
i-031b06b4c88962501, 0.000000
i-0bb64b921577cfdcf, 0.005102
i-0b7f68ba1e9ae38a9, 0.055085
i-0f03e50d2ff9257c2, 0.001763
i-01c373de197bd5954, 0.000000
