instanceid, networkinGiB
i-07dd56f45b38f3962, 0.000000
i-03e78d255b96a7b33, 0.000000
i-03c4fa1791dec25e5, 0.011677
i-0be2acd6b75c6d7a5, 0.000000
i-0cde429a7a8976cb1, 0.000000
i-0dc3fbd58b6b5633d, 0.013013
i-03e3e233a0ad72c1f, 0.469151
i-049a9da9d57122b84, 0.529745
i-0fce5c7a099ce51dd, 3.541450
i-05ddb0a770068a745, 0.000000
i-0d6efdb4f920138f7, 0.005288
