instanceid, networkoutGiB
i-08433a749412529ba, 0.005991
i-01186405a7e4dbd06, 0.000000
i-074a56c2fc897de28, 23.358529
i-036fed0f5fc68c3d9, 0.000000
i-0ea7c437b69e8a897, 2.784085
i-0616ca410f0859c02, 0.134064
i-042e3c55c4fe897e6, 0.000000
i-03efcaae2986a378f, 1.595908
i-0e080b1bf16515d66, 0.013538
i-089100a36dbb4f344, 0.000000
i-0d417ac2865880065, 0.000000
i-0b39183adb9cfbb24, 0.002913
