,instanceid, networkinGiB, networkoutGiB, cpuutilization%,id,account_id,region,subnet,instancetype,launchtime,statecode,statename,name,state
0,i-03c4c5d392bddcd55,0.0,0.0,0.0,1,3,us-east-2,subnet-f412a68f,t2.medium,2021-06-01T03:00:14+00:00,80,stopped,RPA,idle
1,i-0cccf18d76f36205f,0.077809,0.035523,3.445899,2,3,us-east-2,subnet-efeb8486,t2.large,2021-09-17T11:45:43+00:00,16,running,axon-pro,active
2,i-025439ad38ce727be,22.470195,10.381214,7.789879,3,3,us-east-2,subnet-efeb8486,m4.2xlarge,2021-06-23T09:59:43+00:00,16,running,www3/eos,active
3,i-05f6dd651857f0340,0.048444,0.027982,1.722845,4,3,us-east-2,subnet-f412a68f,t2.large,2020-02-08T05:55:18+00:00,16,running,demo3new,active
4,i-04fb2779ef89c0bce,0.0,0.0,0.0,5,3,us-east-2,subnet-f412a68f,t2.xlarge,2021-08-31T13:21:04+00:00,80,stopped,dev3,idle
5,i-03f396c21aeb537c5,0.0,0.0,0.0,6,3,us-east-2,subnet-f412a68f,t2.medium,2021-06-01T03:01:52+00:00,80,stopped,rpa-new,idle
6,i-0393e351c9d2dc929,0.0,0.0,0.0,7,3,us-east-2,subnet-efeb8486,t2.medium,2020-03-26T05:18:28+00:00,80,stopped,rpa-new,idle
7,i-044cc395dfe7d5e56,0.0,0.0,0.0,8,3,us-east-2,subnet-f412a68f,t2.micro,2020-07-28T15:46:20+00:00,80,stopped,ftp-,idle
8,i-050f033dd62ac9748,0.047891,0.026378,0.384114,9,3,us-east-2,subnet-efeb8486,t2.small,2020-12-15T15:26:54+00:00,16,running,docker-repo,idle
9,i-01f8a90046cfc2fa7,0.076867,0.085252,1.486232,10,3,us-east-2,subnet-efeb8486,t2.large,2021-04-29T08:20:08+00:00,16,running,skyward-pro,active
10,i-0e9b09287780aecfb,0.049256,0.070303,4.376511,11,3,us-east-2,subnet-efeb8486,t2.large,2021-05-27T04:30:39+00:00,16,running,hdo-test,active
11,i-0caae2fc7ca04c77f,0.853081,0.011529,1.29209,12,3,us-east-2,subnet-f412a68f,t2.large,2021-11-29T03:15:04+00:00,80,stopped,buildserver new,active
12,i-0a01e75898f326773,0.0,0.0,0.0,13,3,us-east-2,subnet-e9bb7da4,t2.large,2021-08-31T13:32:04+00:00,80,stopped,crm standalone,idle
13,i-061382e20983d9d31,0.104179,0.138417,0.66162,14,3,us-east-2,subnet-f412a68f,t2.xlarge,2021-07-22T13:40:41+00:00,16,running,hubdiveonline-PRO,idle
14,i-03c1154508ac203ad,0.057633,0.069622,0.749134,15,3,us-east-2,subnet-e9bb7da4,t2.large,2021-11-24T04:58:18+00:00,16,running,arrowheadgrpstaging-50gb,idle
15,i-0cd81c5a6b0b40032,0.050823,0.039804,0.976404,16,3,us-east-2,subnet-e9bb7da4,t2.large,2021-06-15T05:04:25+00:00,16,running,Skyward-testing,idle
16,i-01da8318c3d255165,0.055901,0.044,1.989325,17,3,us-east-2,subnet-f412a68f,t2.large,2021-07-19T04:53:41+00:00,16,running,axon-test,active
17,i-0d322baa94e34711a,56.9866,0.886425,13.590428,18,3,us-east-2,subnet-f412a68f,t2.xlarge,2021-10-11T14:49:43+00:00,16,running,qa3_back,active
18,i-086ed6532ebf7faa8,0.0,0.0,0.0,19,3,us-east-2,subnet-e9bb7da4,t2.xlarge,2021-11-23T13:57:30+00:00,80,stopped,uat_q3,idle
19,i-07d64aefa7a39e94a,13.13848,0.261707,9.480403,20,3,us-east-2,subnet-e9bb7da4,t2.xlarge,2021-11-10T03:38:51+00:00,16,running,staging3,active
