,instanceid, networkinGiB, networkoutGiB, cpuutilization%,id,account_id,region,subnet,instancetype,launchtime,statecode,statename,name,state
0,i-07dd56f45b38f3962,0.0,0.0,0.0,1,3,us-west-1,subnet-4ccce928,t2.large,2021-06-03T09:43:24+00:00,80,stopped,arroheadgrptest-50GB,idle
1,i-03e78d255b96a7b33,0.0,0.0,0.0,2,3,us-west-1,subnet-4ccce928,t2.xlarge,2021-07-23T05:56:02+00:00,80,stopped,hub-test-performance,idle
2,i-03c4fa1791dec25e5,0.011677,0.007603,0.868441,3,3,us-west-1,subnet-4ccce928,t2.large,2021-10-26T12:34:04+00:00,16,running,truenorthtest,idle
3,i-0be2acd6b75c6d7a5,0.0,0.0,0.0,4,3,us-west-1,subnet-08f48550,t2.small,2019-12-13T10:35:53+00:00,80,stopped,lightwing,idle
4,i-0cde429a7a8976cb1,0.0,0.0,0.0,5,3,us-west-1,subnet-08f48550,t2.large,2021-02-25T15:28:26+00:00,80,stopped,elasticnew,idle
5,i-0dc3fbd58b6b5633d,0.013013,0.016877,0.308129,6,3,us-west-1,subnet-08f48550,t2.small,2020-05-06T11:45:53+00:00,16,running,ftp-internal,idle
6,i-03e3e233a0ad72c1f,0.469151,16.521039,0.777138,7,3,us-west-1,subnet-08f48550,t2.xlarge,2021-08-06T16:49:19+00:00,16,running,diveinsurance-pro,active
7,i-049a9da9d57122b84,0.529745,13.554347,8.551001,8,3,us-west-1,subnet-08f48550,t2.xlarge,2021-11-24T04:22:05+00:00,16,running,arrowheadgrp-pro,active
8,i-0fce5c7a099ce51dd,3.54145,1.367444,0.461124,9,3,us-west-1,subnet-08f48550,t2.xlarge,2021-06-09T06:44:56+00:00,16,running,hubstaging-150gb,active
9,i-05ddb0a770068a745,0.0,0.0,0.0,10,3,us-west-1,subnet-08f48550,t2.xlarge,2021-06-14T05:28:14+00:00,80,stopped,staging3.x,idle
10,i-0d6efdb4f920138f7,0.005288,0.002602,0.338792,11,3,us-west-1,subnet-08f48550,t2.medium,2021-10-08T18:17:05+00:00,16,running,keycloak_new,idle
